id_contrato,estado_contrato,fecha_de_firma,fecha_de_inicio_del_contrato,fecha_de_fin_del_contrato,tipo_de_contrato,modalidad_de_contratacion,duraci_n_del_contrato,dias_adicionados,valor_del_contrato,valor_pagado,valor_pendiente_de_pago,es_pyme,es_grupo,g_nero_representante_legal,duracion_dias,fecha_analisis,anio,valor_contrato_cero,es_directa
CO1.PCCNTR.108139,Cerrado,2017-02-15,2017-02-02,2017-12-01,Prestación de servicios,Contratación directa (con ofertas),Dia(s),0,63434109.0,14408338.0,49025771.0,No,No,No definido,302.0,2017-02-15,2017,False,1
CO1.PCCNTR.5031420,Cerrado,2023-06-14,2023-06-14,2023-12-31,Prestación de servicios,Contratación directa,213 Dia(s),0,64506258.0,63905081.0,601176.0,No,No,No definido,200.0,2023-06-14,2023,False,1
CO1.PCCNTR.7543908,En ejecución,2025-02-24,2025-02-26,2025-10-25,Prestación de servicios,Contratación directa,8 Mes(es),0,60944000.0,60436133.0,507867.0,No,No,Hombre,241.0,2025-02-24,2025,False,1
CO1.PCCNTR.6498852,Modificado,2024-07-17,2024-08-01,2026-10-31,Prestación de servicios,Selección abreviada subasta inversa,28 Mes(es),92,4613762049.05,3755681833.0,858080215.0,Si,No,Hombre,821.0,2024-07-17,2024,False,0
CO1.PCCNTR.5375759,Cerrado,2023-09-20,2023-09-20,2024-06-30,Prestación de servicios,Contratación directa,291 Dia(s),0,62082667.0,60222667.0,1860000.0,Si,No,No definido,284.0,2023-09-20,2023,False,1
CO1.PCCNTR.299584,Cerrado,2018-02-02,2018-01-18,2018-12-31,Prestación de servicios,Contratación directa,No definido,0,163085716.0,161671678.0,1414038.0,No,No,No definido,347.0,2018-02-02,2018,False,1
CO1.PCCNTR.7607567,Cerrado,2025-03-07,2025-03-12,2025-11-11,Prestación de servicios,Contratación directa,8 Mes(es),0,64928000.0,64928000.0,0.0,No,No,Mujer,244.0,2025-03-07,2025,False,1
CO1.PCCNTR.3677008,Cerrado,2022-05-09,2022-05-10,2022-12-15,Prestación de servicios,Mínima cuantía,8 Mes(es),0,12311964.0,5638185.0,6673779.0,No,No,Hombre,219.0,2022-05-09,2022,False,0
CO1.PCCNTR.110630,Cerrado,2017-02-15,2017-02-06,2017-12-31,Prestación de servicios,Contratación directa (con ofertas),No definido,0,78904285.0,76577731.0,2326554.0,No,No,Hombre,328.0,2017-02-15,2017,False,1
CO1.PCCNTR.8537791,Modificado,2025-11-21,2025-11-26,2026-10-31,Prestación de servicios,Contratación directa,339 Dia(s),92,37807667.0,24223667.0,13584000.0,No,No,Mujer,339.0,2025-11-21,2025,False,1
CO1.PCCNTR.7647391,Cerrado,2025-03-19,2025-03-25,2025-11-24,Prestación de servicios,Contratación directa,8 Mes(es),0,75191624.0,75191624.0,0.0,No,No,No definido,244.0,2025-03-19,2025,False,1
CO1.PCCNTR.1326406,Cerrado,2020-02-11,2020-01-29,2020-12-31,Prestación de servicios,Contratación directa,Dia(s),0,30235333.0,29437333.0,798000.0,No,No,Hombre,337.0,2020-02-11,2020,False,1
CO1.PCCNTR.8667861,En ejecución,2025-12-17,2025-12-24,2025-12-31,Prestación de servicios,Selección abreviada subasta inversa,14 Dia(s),0,6794307458.0,6794307458.0,0.0,No,No,Hombre,7.0,2025-12-17,2025,False,0
CO1.PCCNTR.9190412,En ejecución,2026-01-29,2026-02-02,2026-12-31,Prestación de servicios,Contratación directa,334 Dia(s),0,102689580.0,43377495.0,59312085.0,No,No,Hombre,332.0,2026-01-29,2026,False,1
CO1.PCCNTR.2879011,Cerrado,2021-10-08,2021-10-08,2022-12-31,Prestación de servicios,Contratación directa,342 Dia(s),0,94960000.0,93960000.0,1000000.0,No,No,No definido,449.0,2021-10-08,2021,False,1
CO1.PCCNTR.8244019,En ejecución,2025-08-30,2025-09-04,2025-12-31,Prestación de servicios,Contratación directa,123 Dia(s),0,36816667.0,34460400.0,2356267.0,No,No,Hombre,118.0,2025-08-30,2025,False,1
CO1.PCCNTR.6209284,Cerrado,2024-04-16,2024-04-19,2024-12-31,Prestación de servicios,Contratación directa,252 Dia(s),0,33541200.0,33541200.0,0.0,No,No,No definido,256.0,2024-04-16,2024,False,1
CO1.PCCNTR.268036,Cerrado,2018-01-11,2017-12-29,2018-11-30,Prestación de servicios,Contratación directa,No definido,0,94350000.0,94066667.0,283333.0,No,No,No definido,336.0,2018-01-11,2018,False,1
CO1.PCCNTR.6349201,Cerrado,2024-05-21,2024-05-23,2025-03-31,Prestación de servicios,Contratación directa,310 Dia(s),0,60907600.0,58992267.0,1915333.0,No,No,No definido,312.0,2024-05-21,2024,False,1
CO1.PCCNTR.1176233,Modificado,2019-11-27,2019-11-18,2020-11-13,Compraventa,Selección abreviada subasta inversa,No definido,318,1477220089.0,468603022.0,1008617067.0,Si,No,Hombre,361.0,2019-11-27,2019,False,0
CO1.PCCNTR.2207470,Cerrado,2021-02-11,2021-02-11,2021-10-31,Prestación de servicios,Contratación directa,333 Dia(s),0,72008871.0,70957647.0,1051224.0,No,No,No definido,262.0,2021-02-11,2021,False,1
CO1.PCCNTR.4499199,Cerrado,2023-01-27,2023-01-27,2023-05-27,Prestación de servicios,Contratación directa,4 Mes(es),0,24477084.0,24477084.0,0.0,No,No,No definido,120.0,2023-01-27,2023,False,1
CO1.PCCNTR.627076,Cerrado,2018-11-23,2018-10-30,2018-12-31,Prestación de servicios,Contratación directa,No definido,0,10179400.0,8999180.0,1180220.0,No,No,No definido,62.0,2018-11-23,2018,False,1
CO1.PCCNTR.3830507,En ejecución,2022-08-05,2022-08-10,2023-02-09,Interventoría,Concurso de méritos abierto,5 Mes(es),0,505290440.0,505290440.0,0.0,Si,Si,Hombre,183.0,2022-08-05,2022,False,0
CO1.PCCNTR.8487785,En ejecución,2025-10-29,2025-11-05,2025-12-31,Prestación de servicios,Contratación directa,68 Dia(s),0,19725000.0,14728000.0,4997000.0,No,No,Mujer,56.0,2025-10-29,2025,False,1
